objectid,display_template,object_location,image_small,image_thumb,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation,filename,youtubeid
psychiana001,video,https://youtu.be/x6eu5wj8b04,https://img.youtube.com/vi/x6eu5wj8b04/hqdefault.jpg,https://img.youtube.com/vi/x6eu5wj8b04/hqdefault.jpg,"Psychiana, A Mail Order Religion Created in the Small Town of Moscow, Idaho",video/mpeg,"Short video describing Psychiana, a mail order religion that preached the New Thought Movement. In 1928, Dr. Frank B. Robinson created Psychiana in Moscow, Idaho.",Northwest Public Broadcasting,,2019-08-28,,youtube video,Religion; Frank B. Robinson,,,,,Northwest Public Broadcasting,Northwest Public Broadcasting,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Audio,eng,,,x6eu5wj8b04
psychiana002,audio,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/good_news_06.mp3,,,Good News,audio/mp3,"Radio program corresponding with transcript of Radio Psychiana - Series for Dr. Frank B. Robinson No. 3. Episode begins proclaiming the growth of Pyschiana and then takes listeners to Robinson's home in Moscow, Idaho, describing its appearance. A dialogue begins between a 'guide' and Robinson about miracles, healing, the God-Law, the mail Robinson receives, and the 'Life Impulse' or 'motivating spirit' that allows people to think and live with God.",The Izzard Company,,1947,yes,radio program,God-Law; Life Spirit; Mircales; Healing; Sudent Letters; Testimonials,"Springfield, IL",39.770372,-89.639463,Good News,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 5, Tapes",good_news_06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,good_news_06.mp3,
psychiana003,audio,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/good_news_05.mp3,,,Good News - Man's Quest,audio/mp3,"Radio program episode discusses man's quest for answers, then introduces Robinson and his concept of the Cosmic God-Power. Robinson discusses the God-Power, reads a student letter asking for help, and uses the discovery of the 'cosmic ray' by Professor Milikan as evidence that there is invisible power around us. Robinson claims this Power is for our use and can bring anyone what they desire. Also includes a testimonial from a man claimed to live in Holland.",,,1947,yes,radio program,"Spirit of God, God-Power;  Cosmic Rays; Science and Technology; Student Letters; Hardship; Material Abundance; Testimonials",,,,Good News,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 5, Tapes",good_news_05,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,good_news_05.mp3,
psychiana004,audio,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/good_news_04.mp3,,,Good News - Purpose of the Program,audio/mp3,"Radio program episode outlines the purpose of the 'Good News' radio program, to broadcast positive and peaceful things rather than negative. Episode includes organ music and songs sung by Al Marino, jokes made in the face of war, and urges listeners to buy quality-made products for better piece of mind.",,,1947,yes,radio program,Peace; Good News; Quality Products; World War; Organ,,,,Good News,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 5, Tapes",good_news_04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,good_news_04.mp3,
psychiana005,image,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_frank_robinson_negatives_009.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/small/mg101_b6_frank_robinson_negatives_009_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/thumbs/mg101_b6_frank_robinson_negatives_009_th.jpg,I Talked With God Advertisement,image/jpeg,"Photograph of Psychiana Advertisement pinned to a board, reads 'I TALKED WITH GOD...'",,,1935,yes,single-page; photographs,Advertising,"Spokane, WA",47.65557,-117.419063,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Frank B. Robinson Negatives'",mg101_b6_frank_robinson_negatives_009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,mg101_b6_frank_robinson_negatives_009.jpg,
psychiana006,pdf,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b7_f26_107.pdf,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/small/mg101_b7_f26_107_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/thumbs/mg101_b7_f26_107_th.jpg,The Amazing Story of 'Psychiana',application/pdf,Small card advertising a brochure about Psychiana for only $1.00. Includes detachable order form.,"Psychiana, Inc.",,1935/1950,yes,single-page; offers,Psychiana Headquarters; Psychiana Staff; Costs,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 26",mg101_b7_f26_107,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,mg101_b7_f26_107.pdf,
psychiana007,pdf,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b7_f13_007.pdf,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/small/mg101_b7_f13_007_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/thumbs/mg101_b7_f13_007_th.jpg,Untitled illustration of hungry man,application/pdf,"A flyer featuring an untitled illustration of a man standing outside of a restaurant, looking hungrily at food he cannot afford to buy.",,,1942,yes,single-page; flyers,"Material Abundance; God-Realm; Wealth; Spirit of God, God-Power;  Hardships; Illustrations",,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 13",mg101_b7_f13_007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,mg101_b7_f13_007.pdf,
psychiana008,image,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_26.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/small/mg101_b6_photographs_26_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/thumbs/mg101_b6_photographs_26_th.jpg,"Label of a photograph mailed from Frank B. Robinson to his son, Albert B. Robinson",image/jpeg,"Photograph of a brown paper label torn from a package used to mail a photograph from Frank B. Robinson to Alfred B. Robinson, including addresses and postage.",,,1948-01-20,,single-page; photographs,Mailings; Alfred B. Robinson,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_26,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,mg101_b6_photographs_26.jpg,
psychiana009,pdf,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b7_f13_013.pdf,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/small/mg101_b7_f13_013_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/thumbs/mg101_b7_f13_013_th.jpg,The Light Within,application/pdf,A flyer featuring an illustration of a lighthouse on the coast representing the light of God within the viewer.,,,1942,yes,single-page; flyers,"Spirit of God, God-Power; Truth; Illustrations",,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 13",mg101_b7_f13_013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,mg101_b7_f13_013.pdf,
psychiana010,pdf,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b7_f13_028.pdf,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/small/mg101_b7_f13_028_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/thumbs/mg101_b7_f13_028_th.jpg,For Rent - A Cross,application/pdf,A flyer to all Americans advertizing Frank B. Robinson's newest book.,,,1942,yes,single-page; flyers,"Robinson's Books; Moscow, Idaho",,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 13",mg101_b7_f13_028,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,mg101_b7_f13_028.pdf,
